TF,EDGE_TYPE,ANALYSIS,TARGET,Log2FC,Pvalue,analysis_id,gene_id,gene_name,ANALYSIS_CUTOFF,ANALYSIS_METHOD,CONTROL,DATA_SOURCE/PUBLICATION,DOI,EXPERIMENT_TYPE,GENOTYPE,GROWTH_MEDIUM,GROWTH_PERIOD_DAYS,TECHNOLOGY/METHOD,TISSUE/SAMPLE,TREATMENTS,TREATMENT_TIME
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G07430,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G08300,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G08840,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G09200,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G09500,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G09780,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G09950,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G11080,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G11210,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G11960,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G12370,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G13130,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G13790,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G14470,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G14580,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G14620,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G14880,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G15125,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G15510,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G16720,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G17190,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G17665,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G17940,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G18330,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G18400,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G18810,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G19050,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G19940,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G19960,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G20030,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G20070,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G20230,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G20440,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G20450,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G20693,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G21120,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G21130,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G21550,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G21680,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G21940,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G23390,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G24090,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G24470,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G24600,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G26580,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G26665,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G27020,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G27420,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G28050,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G28210,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G29700,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G29720,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G29770,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G30190,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G30730,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G31490,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G31690,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G31790,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G31950,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G32090,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G33055,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G33720,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G33960,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G34160,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G35230,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G36060,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G42980,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G43160,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G43670,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G44830,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
"('AT1G01060', '', 'c0c1fc7c-245e-4fde-ac8f-68eb02e200ef')",in vitro:Bound:DAP,2650,AT1G47510,,,2650,AT1G01060,LHY,Q<0.01,GEM,,O'Malley & Huang Cell 2016,10.1016/j.cell.2016.04.038,Binding,Col-0,,,DAPSeq,gDNA,None,
